1. Edad;2. Sexo;3. ¿En qué Localidad vive?;4. Los recibos de servicios públicos que recibe en su hogar, corresponden a: ;Primera respuesta seleccionada;Segunda respuesta seleccionada;Tercera respuesta seleccionada;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los horarios y frecuencias de recolección de basuras;
60 o más;Femenino;Fontibón;Estrato 3;Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
30 a 44 años;Masculino;Engativá;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;;;;;;;
45 a 59 años;Femenino;Santa Fe;Estrato 2;El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;;;;;;
60 o más;Femenino;Suba;Estrato 3;Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;, El incremento de las tarifas del servicio público de aseo;;;;;;;
45 a 59 años;Femenino;Santa Fe;Estrato 2;Los contenedores y canecas para disposición de basuras;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;;;;;;;
45 a 59 años;Masculino;Suba;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
18 a 29 años;Masculino;Engativá;Estrato 3;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
30 a 44 años;Femenino;Puente Aranda;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;;;;;;;
45 a 59 años;Femenino;Engativá;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;;;;;;;
45 a 59 años;Masculino;Barrios Unidos;Estrato 4;La inseguridad que se genera en entornos llenos de basuras;;;;;;;;;
30 a 44 años;Masculino;Engativá;Estrato 3;Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;;;;;
30 a 44 años;Masculino;San Cristóbal;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;;;
