1. Edad;2. Sexo;3. ¿En qué Localidad vive?;4. Los recibos de servicios públicos que recibe en su hogar, corresponden a: ;Primera respuesta seleccionada;Segunda respuesta seleccionada;Tercera respuesta seleccionada;;;;;;;
45 a 59 años;Femenino;Bosa;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, La falta de educación en el tema de multiusuarios en propiedad horizontal; Desde la Alcaldía se deben hacer campañas pedagógicas pedagógicas, aprovechemos el transporte articulado y el sitp; Si los vendedores trabajan en el stp pq no sensibilizar a la ciudadanía????
45 a 59 años;Femenino;Tunjuelito;Estrato 2;Poca generación de nuevos empleos en torno al tema del manejo de basuras;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;;;;;;
60 o más;Femenino;Santa Fe;Estrato 2;El incremento de las tarifas del servicio público de aseo;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, Los horarios y frecuencias de recolección de basuras;, Sacar la basura 10 minutos después q el carro a pasado eso pasa aquí la gente no tiene cultura
60 o más;Femenino;Los Mártires;Estrato 3;El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La falta de articulaciòn de la institucionalidad local y distrital para hacer acuerdos gana gana en beneficio de la cultura ciudadana donde articulemos ley , cultura y moral;;;;;;
30 a 44 años;Femenino;Usaquén;Estrato 6;Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, Los recicladores no oficiales que son los que dejan la basura que no les sirve regada en los andenes y falta de recolección diferenciada en la zona (reciclables, orgánicos y ordinarios);;;;
30 a 44 años;Femenino;Suba;Estrato 4;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;;;;;
18 a 29 años;Masculino;Kennedy;Estrato 2;La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;;;;;
18 a 29 años;Masculino;Engativá;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;;;;;;;
30 a 44 años;Femenino;San Cristóbal;Estrato 2;Los horarios y frecuencias de recolección de basuras;, Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;;;;;
30 a 44 años;Femenino;San Cristóbal;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;
18 a 29 años;Femenino;San Cristóbal;Estrato 2;Los horarios y frecuencias de recolección de basuras;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;;;;;
18 a 29 años;Femenino;Engativá;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, Los malos olores, ratones y focos de enfermedades;, Los horarios y frecuencias de recolección de basuras;, El deterioro ambiental;;;
30 a 44 años;Femenino;Suba;Estrato 5;El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Pidieron separar pero no veo que la recolección sea separada ;;;;;;
45 a 59 años;Femenino;Suba;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La falta de conciencia de las personas al depositar, miran dónde va cada cosa, no hay cultura;;;;;;;
60 o más;Femenino;Fontibón;Estrato 4;La basura tirada en la calle;, El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
60 o más;Femenino;Teusaquillo;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, Los horarios y frecuencias de recolección de basuras;;
30 a 44 años;Femenino;Suba;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Femenino;Suba;Estrato 2;El incremento de las tarifas del servicio público de aseo;;;;;;;;;
18 a 29 años;Femenino;Suba;Estrato 2;El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;;;
60 o más;Masculino;Suba;Estrato 4;La basura tirada en la calle;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;;;;;;
45 a 59 años;Masculino;Usme;Estrato 2;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;;;;;;;
60 o más;Femenino;Kennedy;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Femenino;Bosa;Estrato 2;El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
45 a 59 años;Femenino;Usme;Estrato 1;Los contenedores y canecas para disposición de basuras;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, Sería genial que educarán a las personas del resiclaje pues ellos son los que generan el mal uso de recolección ;;
60 o más;Femenino;Teusaquillo;Estrato 4;El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;;;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;;;
30 a 44 años;Femenino;Engativá;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;
60 o más;Masculino;Teusaquillo;Estrato 4;El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;
30 a 44 años;Femenino;Chapinero;Estrato 5;La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;, Los horarios y frecuencias de recolección de basuras;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;;
60 o más;Femenino;Los Mártires;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;;;;;;
30 a 44 años;Femenino;Usaquén;Estrato 2;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;;;;;;;
18 a 29 años;Masculino;Santa Fe;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;;;;;;;
30 a 44 años;Femenino;Santa Fe;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
18 a 29 años;Femenino;Usaquén;Estrato 4;Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;;;;;;;
60 o más;Femenino;Usaquén;Estrato 2;El incremento de las tarifas del servicio público de aseo;, La falta de capacitación a los recicladores informales, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;
